rec	file	table_id	lang	group	entry	key	meta	text
1	lang_communicationstelop.olang	0x001708fb	ja	0xae22a4	0xa1718f	0x000db0	0x0402	（不要）通信が不安定になっています
1	lang_communicationstelop.olang	0x001708fb	ja	0xae22a5	0xa1718f	0x000db0	0x0402	（不要）通信不安定メッセージ002。流れる文字のテスト用にとっても長い文章を入れてみていますよーーーーーーーーーーーーーーーー。ドンだけ長い文章にすればいいかわからないのでだいぶたくさん入れてみてますよーーーー
1	lang_communicationstelop.olang	0x001708fb	ja	0xcca984	0x05f700	0x000db0	0x0402	$1 がミッションから離脱しました
1	lang_communicationstelop.olang	0x001708fb	ja	0xcca984	0x85d8b6	0x000db0	0x0402	接続に失敗しています
1	lang_communicationstelop.olang	0x001708fb	ja	0xcca984	0xae80d2	0x000db0	0x0402	通信が不安定になっています
1	lang_communicationstelop_en.olang	0x001708fb	en	0xae22a4	0xa1718f	0x000d0e	0x0402	（不要）通信が不安定になっています
1	lang_communicationstelop_en.olang	0x001708fb	en	0xae22a5	0xa1718f	0x000d0e	0x0402	（不要）通信不安定メッセージ002。流れる文字のテスト用にとっても長い文章を入れてみていますよーーーーーーーーーーーーーーーー。ドンだけ長い文章にすればいいかわからないのでだいぶたくさん入れてみてますよーーーー
1	lang_communicationstelop_en.olang	0x001708fb	en	0xcca984	0x05f700	0x000d0e	0x0402	$1 has left the mission.
1	lang_communicationstelop_en.olang	0x001708fb	en	0xcca984	0x85d8b6	0x000d0e	0x0402	CONNECTION FAILED
1	lang_communicationstelop_en.olang	0x001708fb	en	0xcca984	0xae80d2	0x000d0e	0x0402	CONNECTION UNSTABLE
1	lang_communicationstelop_fr.olang	0x001708fb	fr	0xae22a4	0xa1718f	0x000d32	0x0402	（不要）通信が不安定になっています
1	lang_communicationstelop_fr.olang	0x001708fb	fr	0xae22a5	0xa1718f	0x000d32	0x0402	（不要）通信不安定メッセージ002。流れる文字のテスト用にとっても長い文章を入れてみていますよーーーーーーーーーーーーーーーー。ドンだけ長い文章にすればいいかわからないのでだいぶたくさん入れてみてますよーーーー
1	lang_communicationstelop_fr.olang	0x001708fb	fr	0xcca984	0x05f700	0x000d32	0x0402	$1 a quitté la mission.
