container	entry	off	size	mode	crc	kind	detail
EXLANG\disc0_rel\00b2b475.PDT	0	0x2000	14336	0x100	ok	raw	53506d03
EXLANG\disc0_rel\00b2b475.PDT	1	0x5800	14336	0x100	ok	raw	53506e03
EXLANG\disc0_rel\00b2b475.PDT	2	0x9000	14336	0x100	ok	raw	53506f03
EXLANG\disc0_rel\00b2b475.PDT	3	0xc800	18432	0x100	ok	raw	53507003
EXLANG\disc0_rel\00b2b475.PDT	4	0x11000	18432	0x100	ok	raw	53507103
EXLANG\disc0_rel\00b2b475.PDT	5	0x15800	16384	0x100	ok	raw	53507203
EXLANG\disc0_rel\00b2b475.PDT	6	0x19800	12288	0x100	ok	raw	53507303
EXLANG\disc0_rel\00b2b475.PDT	7	0x1c800	12288	0x100	ok	raw	53507403
EXLANG\disc0_rel\00b2b475.PDT	8	0x1f800	12288	0x100	ok	raw	53507503
EXLANG\disc0_rel\00b2b475.PDT	9	0x22800	12288	0x100	ok	raw	53507603
EXLANG\disc0_rel\00b2b475.PDT	10	0x25800	10240	0x100	ok	raw	53507703
EXLANG\disc0_rel\00b2b475.PDT	11	0x28000	12288	0x100	ok	raw	53507803
EXLANG\disc0_rel\00b2b475.PDT	12	0x2b000	14336	0x100	ok	raw	53507903
EXLANG\disc0_rel\00b2b475.PDT	13	0x2e800	14336	0x100	ok	raw	53507a03
EXLANG\disc0_rel\00b2b475.PDT	14	0x32000	16384	0x100	ok	raw	53507b03
EXLANG\disc0_rel\00b2b475.PDT	15	0x36000	14336	0x100	ok	raw	53507c03
EXLANG\disc0_rel\00b2b475.PDT	16	0x39800	14336	0x100	ok	raw	53507d03
EXLANG\disc0_rel\00b2b475.PDT	17	0x3d000	14336	0x100	ok	raw	53507e03
EXLANG\disc0_rel\00b2b475.PDT	18	0x40800	12288	0x100	ok	raw	53507f03
EXLANG\disc0_rel\00b2b475.PDT	19	0x43800	14336	0x100	ok	raw	53508003
EXLANG\disc0_rel\00b2b475.PDT	20	0x47000	12288	0x100	ok	raw	53508103
EXLANG\disc0_rel\00b2b475.PDT	21	0x4a000	10240	0x100	ok	raw	53508203
EXLANG\disc0_rel\00b2b475.PDT	22	0x4c800	16384	0x100	ok	raw	53508303
EXLANG\disc0_rel\00b2b475.PDT	23	0x50800	16384	0x100	ok	raw	53508403
EXLANG\disc0_rel\00b2b475.PDT	24	0x54800	18432	0x100	ok	raw	53508503
EXLANG\disc0_rel\00b2b475.PDT	25	0x59000	16384	0x100	ok	raw	53508603
EXLANG\disc0_rel\00b2b475.PDT	26	0x5d000	16384	0x100	ok	raw	53508703
EXLANG\disc0_rel\00b2b475.PDT	27	0x61000	16384	0x100	ok	raw	53508803
EXLANG\disc0_rel\00b2b475.PDT	28	0x65000	12288	0x100	ok	raw	53508903
EXLANG\disc0_rel\00b2b475.PDT	29	0x68000	18432	0x100	ok	raw	53508a03
EXLANG\disc0_rel\00b2b475.PDT	30	0x6c800	14336	0x100	ok	raw	53508b03
EXLANG\disc0_rel\00b2b475.PDT	31	0x70000	10240	0x100	ok	raw	53508c03
EXLANG\disc0_rel\00b2b475.PDT	32	0x72800	10240	0x100	ok	raw	53508d03
EXLANG\disc0_rel\00b2b475.PDT	33	0x75000	10240	0x100	ok	raw	53508e03
EXLANG\disc0_rel\00b2b475.PDT	34	0x77800	10240	0x100	ok	raw	53508f03
EXLANG\disc0_rel\00b2b475.PDT	35	0x7a000	12288	0x100	ok	raw	53509003
EXLANG\disc0_rel\00b2b475.PDT	36	0x7d000	12288	0x100	ok	raw	53509103
