mode	pack	slot	group	line	lang	src	text
1	AVD00003	1	0xbc4a75	0	de	MLG/Text/009c9ea4.olang	Sperre gelöst.
1	AVD00003	1	0xbc4a75	0	de	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	0	en	MLG/Text/009c9ea4.olang	Lock disengaged.
1	AVD00003	1	0xbc4a75	0	en	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	0	es	MLG/Text/009c9ea4.olang	Seguro desbloqueado.
1	AVD00003	1	0xbc4a75	0	fr	MLG/Text/009c9ea4.olang	Verrouillage désengagé.
1	AVD00003	1	0xbc4a75	0	fr	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	0	it	MLG/Text/009c9ea4.olang	Blocco disattivato.
1	AVD00003	1	0xbc4a75	0	it	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	0	ja	MLG/Text/009c9ea4.olang	ロック解除
1	AVD00003	1	0xbc4a75	0	ja	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	0	pt	EXLANG/Text/00c7f1dd.olang	Trava desativada.
1	AVD00003	1	0xbc4a75	1	de	MLG/Text/009c9ea4.olang	Plattform wird reinitialisiert.
1	AVD00003	1	0xbc4a75	1	de	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	1	en	MLG/Text/009c9ea4.olang	Reinitializing platform.
1	AVD00003	1	0xbc4a75	1	en	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	1	es	MLG/Text/009c9ea4.olang	Reiniciando plataforma.
1	AVD00003	1	0xbc4a75	1	fr	MLG/Text/009c9ea4.olang	Réinitialisation de la plateforme.
1	AVD00003	1	0xbc4a75	1	fr	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	1	it	MLG/Text/009c9ea4.olang	Riattivazione piattaforma.
1	AVD00003	1	0xbc4a75	1	it	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	1	ja	MLG/Text/009c9ea4.olang	プラットフォーム再起動！
1	AVD00003	1	0xbc4a75	1	ja	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	1	pt	EXLANG/Text/00c7f1dd.olang	Reinicializando plataforma.
1	AVD00003	1	0xbc4a75	2	de	MLG/Text/009c9ea4.olang	Selbstverteidigungssystem aktiv.
1	AVD00003	1	0xbc4a75	2	de	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	2	en	MLG/Text/009c9ea4.olang	Self-defense system online.
1	AVD00003	1	0xbc4a75	2	en	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	2	es	MLG/Text/009c9ea4.olang	Sistema de autodefensa activado.
1	AVD00003	1	0xbc4a75	2	fr	MLG/Text/009c9ea4.olang	Système d'auto-défense en ligne.
1	AVD00003	1	0xbc4a75	2	fr	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	2	it	MLG/Text/009c9ea4.olang	Sistema di autodifesa attivato.
1	AVD00003	1	0xbc4a75	2	it	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	2	ja	MLG/Text/009c9ea4.olang	自己防衛システム、作動！
1	AVD00003	1	0xbc4a75	2	ja	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	2	pt	EXLANG/Text/00c7f1dd.olang	Sistema de autodefesa ativado.
1	AVD00003	1	0xbc4a75	3	de	MLG/Text/009c9ea4.olang	Wechsle in den Selbstverteidigungsmodus.
1	AVD00003	1	0xbc4a75	3	de	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	3	en	MLG/Text/009c9ea4.olang	Switching to self-defense mode.
1	AVD00003	1	0xbc4a75	3	en	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	3	es	MLG/Text/009c9ea4.olang	Pasando a modo de autodefensa.
1	AVD00003	1	0xbc4a75	3	fr	MLG/Text/009c9ea4.olang	Passage en mode auto-défense.
1	AVD00003	1	0xbc4a75	3	fr	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	3	it	MLG/Text/009c9ea4.olang	Passaggio a modalità autodifesa.
1	AVD00003	1	0xbc4a75	3	it	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	3	ja	MLG/Text/009c9ea4.olang	自己防衛モードに移行！
1	AVD00003	1	0xbc4a75	3	ja	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	3	pt	EXLANG/Text/00c7f1dd.olang	Mudando para modo de autodefesa.
1	AVD00003	1	0xbc4a75	4	de	MLG/Text/009c9ea4.olang	Flammenwerfer aktiv.
1	AVD00003	1	0xbc4a75	4	de	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	4	en	MLG/Text/009c9ea4.olang	Flamethrower engaged.
1	AVD00003	1	0xbc4a75	4	en	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	4	es	MLG/Text/009c9ea4.olang	Lanzallamas iniciado.
1	AVD00003	1	0xbc4a75	4	fr	MLG/Text/009c9ea4.olang	Lance-flammes engagé.
1	AVD00003	1	0xbc4a75	4	fr	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	4	it	MLG/Text/009c9ea4.olang	Lanciafiamme attivato.
1	AVD00003	1	0xbc4a75	4	it	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	4	ja	MLG/Text/009c9ea4.olang	火炎放射開始！
1	AVD00003	1	0xbc4a75	4	ja	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	4	pt	EXLANG/Text/00c7f1dd.olang	Lança-chamas ativado.
1	AVD00003	1	0xbc4a75	5	de	MLG/Text/009c9ea4.olang	Lege S-Minen.
1	AVD00003	1	0xbc4a75	5	de	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	5	en	MLG/Text/009c9ea4.olang	Launching S mines.
1	AVD00003	1	0xbc4a75	5	en	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	5	es	MLG/Text/009c9ea4.olang	Lanzando minas S.
1	AVD00003	1	0xbc4a75	5	fr	MLG/Text/009c9ea4.olang	Lancement de mines S.
1	AVD00003	1	0xbc4a75	5	fr	EXLANG/Text/00c7f1dd.olang	
1	AVD00003	1	0xbc4a75	5	it	MLG/Text/009c9ea4.olang	Lancio mina S.
