pool	block	ident	line	budget	record	text
0x1c767903	0x0	0x65	0	55	0	That area is not part of the mission.
0x1c767903	0x70	0x69	0	55	0	That's outside the scope of this mission.
0x1c767903	0xe0	0x67	0	55	0	Stay focused on the mission, Snake.
0x1c767903	0x150	0x65	0	55	0	Focus! You're on a mission.
0x1c767903	0x1c0	0x5e	0	39	0	Hey, nothing over there.
0x1c767903	0x220	0x82	0	87	0	You won't get up there alone.\\nWith some help, maybe...
0x1c767903	0x2b0	0x91	0	103	0	You could probably climb that if you\\nhad someone to lend you a hand.
0x1c767903	0x350	0x88	0	87	0	Hmm, that's too tall to climb.\\nIf only you had some equipment...
0x1c767903	0x3e0	0x8e	0	87	0	If you had something to stand on,\\nyou could probably reach that...
0x1c767903	0x470	0x84	0	87	0	If you work as a pair, you should be able to climb small cliffs together.
0x1c767903	0x500	0x6c	0	55	0	It'd take two people to\\nget through there.
0x1c767903	0x570	0x7c	0	71	0	You've gotta wait for backup\\nbefore going any farther.
0x1c767903	0x5f0	0x47	0	23	0	Awwright!
0x1c767903	0x640	0x45	0	23	0	Niiice!
0x1c767903	0x690	0x71	0	71	0	Fulton Recovery to helicopter is complete.
0x1c767903	0x710	0x7a	0	71	0	Fulton Recovery subject confirmed onboard helicopter.
0x1c767903	0x790	0x4f	0	23	0	What a haul!
0x1c767903	0x7e0	0x64	0	55	0	Great! You did it again!
0x1c767903	0x850	0x46	0	23	0	Amazing!
0x1c767903	0x8a0	0xb9	0	46	0	The chopper's almost full!
0x1c767903	0x8a0	0xb9	1	68	0	You won't be able to use the Fulton much longer.
0x1c767903	0x960	0xc3	0	52	0	The Fulton recovery chopper's full.
0x1c767903	0x960	0xc3	1	77	0	We'll have to suspend recoveries until it gets back to base.
0x1c767903	0xa30	0xc3	0	57	0	The chopper's bursting at the seams!
0x1c767903	0xa30	0xc3	1	72	0	No more Fulton recoveries until it returns to base.
0x1c767903	0xb00	0xe6	0	92	0	That last Fulton recovery of yours is still twirling around below the chopper
0x1c767903	0xb00	0xe6	1	70	0	- there's no more room. Lay off the recoveries for now.
0x1c767903	0xbf0	0xc4	0	55	0	Mother Base is already jam-packed.
0x1c767903	0xbf0	0xc4	1	75	0	Lay off the Fulton recoveries until there's more room.
0x1c767903	0xcc0	0x107	0	56	0	Mother Base is practically overflowing.
0x1c767903	0xcc0	0x107	1	81	0	Until some of these people leave, further Fulton recoveries are-
0x1c767903	0xcc0	0x107	2	35	0	hey, stop pushing!
0x1c767903	0xdd0	0xff	0	50	0	No more Fulton recoveries for now.
0x1c767903	0xdd0	0xff	1	66	0	Mother Base is so packed, it's standing room only.
0x1c767903	0xdd0	0xff	2	39	0	Damn it! Man overboard!
0x1c767903	0xed0	0xe9	0	74	0	To use Fulton recovery on a downed soldier,
0x1c767903	0xed0	0xe9	1	88	0	get up next to them so the icon appears and push <I=ACT>.
0x1c767903	0xfc0	0xd8	0	87	0	To use the Fulton recovery system on an incapacitated soldier,
0x1c767903	0xfc0	0xd8	1	59	0	get next to him and press <I=ACT>.
0x1c767903	0x10a0	0xaf	0	58	0	We're not seeing any large weapons in that area.
0x1c767903	0x10a0	0xaf	1	39	0	No point in using the EM Net.
0x1c767903	0x1150	0x8d	0	87	0	The EM Net is useless unless you're in the vicinity of a large-scale weapon.
0x1c767903	0x11e0	0x7d	0	71	0	Too big, Snake. Not even the EM Net can pick that thing up.
0x1c767903	0x1260	0x71	0	71	0	The EM Net won't work on flying targets.
0x1c767903	0x12e0	0x5e	0	39	0	The Net's already active, Snake.
0x1c767903	0x1340	0x91	0	103	0	Mother Base is full. We can't take on any more large-scale weapons.
0x1c767903	0x13e0	0xc1	0	56	0	Mother Base is at full capacity.
0x1c767903	0x13e0	0xc1	1	74	0	We can't accommodate any more large-scale weapons.
0x1c767903	0x14b0	0xf5	0	35	0	We just got a report
0x1c767903	0x14b0	0xf5	1	78	0	that an enemy soldier managed to hang on to the Fulton chopper.
0x1c767903	0x14b0	0xf5	2	43	0	What's going on down there?!
0x1c767903	0x15b0	0xbf	0	56	0	The chopper got snagged by another one.
0x1c767903	0x15b0	0xbf	1	58	0	Weird... Wonder how that keeps happening.
0x1c767903	0x1670	0x9a	0	28	0	Wh... Again?!
0x1c767903	0x1670	0x9a	1	53	0	Another enemy got hold of the chopper!
0x1c767903	0x1710	0xb9	0	63	0	They've okayed the request for supporting fire.
0x1c767903	0x1710	0xb9	1	50	0	It should commence any second now.
0x1c767903	0x17d0	0xa6	0	71	0	They're about to commence the requested supporting fire.
0x1c767903	0x17d0	0xa6	1	26	0	Stay clear.
0x1c767903	0x1880	0x76	0	71	0	We can't fire these things at the drop of a hat.
0x1c767903	0x1900	0x5e	0	39	0	Try again later.
0x1c767903	0x1960	0x60	0	39	0	We need time to reload.
0x1c767903	0x19c0	0x58	0	39	0	You'll have to wait a bit.
0x1c767903	0x1a20	0x76	0	71	0	You're asking for the impossible - we need some time!
0x1c767903	0x1aa0	0xb7	0	52	0	They've okayed the request for support.
0x1c767903	0x1aa0	0xb7	1	61	0	They're sending out a cardboard box as we speak.
0x1c767903	0x1b60	0xa4	0	60	0	They've okayed your request for a cardboard box.
0x1c767903	0x1b60	0xa4	1	38	0	It'll be sent out shortly.
0x1c767903	0x1c10	0x8e	0	87	0	There're too many barriers in the way. We can't support you there.
0x1c767903	0x1ca0	0xba	0	58	0	No support available in that location!
0x1c767903	0x1ca0	0xba	1	55	0	Get to a place with fewer barriers!
0x1c767903	0x1d60	0xef	0	91	0	If you need more ammo or items, send us a support request
0x1c767903	0x1d60	0xef	1	70	0	by dropping a support supply marker.
0x1c767903	0x1e50	0x8c	0	87	0	Do you have enough ammo and items? Send us a support request!
0x1c767903	0x1ee0	0xb8	0	49	0	Use a Support Supply Marker
0x1c767903	0x1ee0	0xb8	1	65	0	to indicate the drop zone for the supplies.
0x1c767903	0x1fa0	0x8e	0	87	0	Mother Base support strike preparations are complete!
0x1c767903	0x2030	0x82	0	87	0	Use a Support Strike Marker to indicate the target!
0x1c767903	0x20c0	0x77	0	71	0	We're out of room to store AI weapons parts.
0x1c767903	0x2140	0x80	0	71	0	Sorry, but you're gonna have to forget about capturing that thing.
0x1c767903	0x21c0	0x84	0	87	0	Not enough room, huh? We'll keep it here at the base.
0x1c767903	0x2250	0xac	0	40	0	You haven't got a chance now.
0x1c767903	0x2250	0xac	1	58	0	You need to pull back and stock up on supplies!
0x1c767903	0x2300	0xec	0	86	0	You don't have any supply markers. Are you gonna have enough ammo?
0x1c767903	0x2300	0xec	1	75	0	Maybe you should pull back and reorganize things first?
0x1c767903	0x23f0	0xd1	0	67	0	We're all out of supplies ourselves right now.
0x1c767903	0x23f0	0xd1	1	79	0	Why don't you come back and get Mother Base back in order?
0x1c767903	0x24d0	0x71	0	71	0	They heard you. They're gonna come take a look.
0x1c767903	0x2550	0x8a	0	87	0	They know someone's there. They'll be coming to check it out.
0x1c767903	0x25e0	0x5f	0	39	0	They've spotted you! Get out of there!
0x1c767903	0x2640	0xbb	0	46	0	You've been spotted. Run for it!
0x1c767903	0x2640	0xbb	1	68	0	It's either that or take out every last enemy solider!
0x1c767903	0x2700	0x8a	0	87	0	The enemy's called for backup! You're can't beat them all!
0x1c767903	0x2790	0xc0	0	60	0	The reinforcements are just going to keep on coming.
0x1c767903	0x2790	0xc0	1	54	0	Forget about fighting - focus on getting away.
0x1c767903	0x2850	0x89	0	87	0	Lie low long enough, and you won't have to fight at all!
0x1c767903	0x28e0	0x86	0	87	0	Stay out of sight until the enemy gives up and stops looking.
0x1c767903	0x2970	0xcf	0	80	0	Looks like they're not getting backup. If this is all they've got,
0x1c767903	0x2970	0xcf	1	50	0	you might be able to take them on...
0x1c767903	0x2a40	0xaf	0	35	0	You've been spotted!
0x1c767903	0x2a40	0xaf	1	63	0	Take 'em out before they can call their friends!
0x1c767903	0x2af0	0x9c	0	33	0	Take that guy out,
0x1c767903	0x2af0	0x9c	1	48	0	before more of 'em get called in!
0x1c767903	0x2b90	0xbd	0	49	0	Take out the enemies close to you
0x1c767903	0x2b90	0xbd	1	65	0	and you might buy yourself enough time to escape.
0x1c767903	0x2c50	0x5e	0	39	0	You are not safe there! Hurry!
0x1c767903	0x2cb0	0x70	0	55	0	If you cannot run, you'll have to fight!
0x1c767903	0x2d20	0x56	0	39	0	Quick, hide!
0x1c767903	0x2d80	0x57	0	39	0	You can get through this!
0x1c767903	0x2de0	0x58	0	39	0	Better hide, and fast!
0x1c767903	0x2e40	0x60	0	39	0	Just try to get away for now!
0x1c767903	0x2ea0	0x70	0	55	0	Hurry, Snake! Find a place to hide!
0x1c767903	0x2f10	0x6d	0	55	0	Don't fight them! Remember her sacrifice!
0x1c767903	0x2f80	0x64	0	55	0	Quick! Find somewhere to hide!
0x1c767903	0x2ff0	0x79	0	71	0	Is there no way to avoid a firefight?!
0x1c767903	0x3070	0x5d	0	39	0	Hide Snake, quick!
0x1c767903	0x30d0	0x5c	0	39	0	Please, Snake! Get out of there!
0x1c767903	0x3130	0xbd	0	36	0	Good, you shook 'em.
0x1c767903	0x3130	0xbd	1	77	0	They're still looking, though\\n- don't make it easy for them.
