sector	off	idx	line	script_class	voice_ids	text
0	0x0	0	0	kana	v_bri_kaz0010_000_0	カズ、“教授”が用意したプラントは、どんな具合だ？\n
0	0x0	0	1	kana	v_bri_kaz0010_000_0	着いた時は笑うしかなかった。海鳥だらけのデカい巣箱っ\nて感じだったからな。\n
0	0x0	0	2	kana	v_bri_kaz0010_000_0	サビと糞は何とか落とした。基礎構造は傷んでないから、\n手入れすれば十分使える。\n
0	0x0	0	3	kana	v_bri_kaz0010_000_0	もともとはどこの所有だったんだ？　いくらボロくても、\n造るには相当のカネが必要だろう。\n
0	0x0	0	4	kana	v_bri_kaz0010_000_0	どうやらこのプラント、アメリカの大学が<R=海洋温度差発電,OTEC>\nの研究用に造ったものらしい。サビだらけの発電タービン\nに名前が残ってた。\n
0	0x0	0	5	kana	v_bri_kaz0010_000_0	建造にあたっては、もちろん政府や企業の援助もあったん\nだろう。だが、結局熱効率の問題を解決できずに研究は中\n止。\n
0	0x0	0	6	kana	v_bri_kaz0010_000_0	廃棄されたこいつを、KGBのフロント企業が安く買い叩い\nた…ってとこじゃないか？\n
0	0x0	0	7	kana	v_bri_kaz0010_000_0	フロント企業を通したとは言え、よくKGBがアメリカ資本\nのプラントを買えたな。\n
0	0x0	0	8	kana	v_bri_kaz0010_000_0	ああ、あの“教授”、相当のやり手だ。\n
0	0x0	0	9	kana	v_bri_kaz0010_000_0	それとこのプラント、同規格のプラントと<R=連結,ジョイント>できる造り\nになってる。\n
0	0x0	0	10	kana	v_bri_kaz0010_000_0	もともとは、プラントを増築していく計画だったんだな。\n
0	0x0	0	11	kana	v_bri_kaz0010_000_0	俺たちがそいつをやってやろう。人を集めて、物を作り、\nMSFの拠点として、プラントを拡大するんだ。\n
0	0x0	0	12	kana	v_bri_kaz0010_000_0	よろしく頼む、ボス。\n
0	0x790	121	0	kana	v_bri_kaz0010_010_0	新型のプラントは<R=六角,ヘックス>タイプだ。今までのものより面積も\n広いし、増築も計画的に行える。派手に拡大出来るぞ。\n
0	0x790	121	1	kana	v_bri_kaz0010_010_0	<R=六角,ヘックス>か。<R=蜂の巣,ハニカム>みたいだな。\n
0	0x790	121	2	kana	v_bri_kaz0010_010_0	<R=蜂の巣,ハニカム>、結構じゃないか。ハニカム構造は強度が高いって\n言うぞ。戦車の装甲にも採用が検討されていると聞く。\n
0	0x790	121	3	kana	v_bri_kaz0010_010_0	了解だ。せっせと蜜を運ぶとしよう。\n
0	0x790	121	4	kana	v_bri_kaz0010_010_0	頼んだぞ、ボス。\n
